Cell name,Leiden cluster,Cell type,Developmental stage
cell_382,12,Blood progenitors 2,E7.5
cell_383,13,Pharyngeal mesoderm,E7.5
cell_385,12,Blood progenitors 2,E7.5
cell_387,17,Caudal epiblast,E7.5
cell_393,8,Blood progenitors 2,E7.5
cell_394,32,PGC,E7.5
cell_395,20,Rostral neurectoderm,E7.5
cell_397,24,Rostral neurectoderm,E7.5
cell_398,30,Blood progenitors 2,E7.5
cell_399,15,Caudal epiblast,E7.5
cell_400,3,Mesenchyme,E7.5
cell_401,31,Rostral neurectoderm,E7.5
cell_403,3,Mesenchyme,E7.5
cell_405,11,Mixed mesoderm,E7.5
cell_407,37,Haematoendothelial progenitors,E7.5
cell_409,17,Rostral neurectoderm,E7.5
cell_410,12,Blood progenitors 1,E7.5
cell_413,20,Rostral neurectoderm,E7.5
cell_414,32,Caudal epiblast,E7.5
cell_415,3,Mesenchyme,E7.5
cell_419,6,Haematoendothelial progenitors,E7.5
cell_422,9,Intermediate mesoderm,E7.5
cell_424,20,Rostral neurectoderm,E7.5
cell_425,24,Surface ectoderm,E7.5
cell_426,50,Nascent mesoderm,E7.5
cell_427,6,Haematoendothelial progenitors,E7.5
cell_430,32,Caudal epiblast,E7.5
cell_431,20,Rostral neurectoderm,E7.5
cell_432,3,Mesenchyme,E7.5
cell_433,20,Rostral neurectoderm,E7.5
cell_438,15,Intermediate mesoderm,E7.5
cell_442,23,Gut,E7.5
cell_443,17,Rostral neurectoderm,E7.5
cell_445,19,Rostral neurectoderm,E7.5
cell_447,12,Blood progenitors 2,E7.5
cell_449,16,Paraxial mesoderm,E7.5
cell_455,13,Pharyngeal mesoderm,E7.5
cell_458,19,Rostral neurectoderm,E7.5
cell_459,23,Gut,E7.5
cell_460,17,Caudal neurectoderm,E7.5
cell_462,19,Epiblast,E7.5
cell_464,12,Blood progenitors 2,E7.5
cell_468,15,Caudal epiblast,E7.5
cell_469,6,Haematoendothelial progenitors,E7.5
cell_471,13,Pharyngeal mesoderm,E7.5
cell_472,3,Mesenchyme,E7.5
cell_473,18,Surface ectoderm,E7.5
cell_477,32,PGC,E7.5
cell_478,61,Rostral neurectoderm,E7.5
cell_479,21,Notochord,E7.5
cell_480,18,Surface ectoderm,E7.5
cell_481,32,Caudal epiblast,E7.5
cell_482,20,Epiblast,E7.5
cell_483,21,Notochord,E7.5
cell_484,8,Blood progenitors 2,E7.5
cell_485,24,Rostral neurectoderm,E7.5
cell_486,13,Pharyngeal mesoderm,E7.5
cell_488,18,Surface ectoderm,E7.5
cell_489,21,Primitive Streak,E7.5
cell_491,13,Pharyngeal mesoderm,E7.5
cell_494,1,Nascent mesoderm,E7.5
cell_495,6,Blood progenitors 1,E7.5
cell_498,8,Blood progenitors 2,E7.5
cell_500,15,Intermediate mesoderm,E7.5
cell_501,23,Gut,E7.5
cell_502,15,Somitic mesoderm,E7.5
