Cell name,Leiden cluster,Cell type,Developmental stage
cell_73284,8,Erythroid2,E8.25
cell_73285,18,Surface ectoderm,E8.25
cell_73287,8,Erythroid1,E8.25
cell_73288,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73290,24,Surface ectoderm,E8.25
cell_73291,4,NMP,E8.25
cell_73292,34,Spinal cord,E8.25
cell_73293,3,Mesenchyme,E8.25
cell_73294,11,Intermediate mesoderm,E8.25
cell_73295,24,Surface ectoderm,E8.25
cell_73297,43,Caudal neurectoderm,E8.25
cell_73298,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73300,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73301,19,Forebrain/Midbrain/Hindbrain,E8.25
cell_73304,18,Surface ectoderm,E8.25
cell_73305,34,Spinal cord,E8.25
cell_73306,8,Erythroid3,E8.25
cell_73307,24,Surface ectoderm,E8.25
cell_73308,23,Gut,E8.25
cell_73309,18,Surface ectoderm,E8.25
cell_73310,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73311,16,Paraxial mesoderm,E8.25
cell_73312,3,Mesenchyme,E8.25
cell_73313,13,Pharyngeal mesoderm,E8.25
cell_73314,11,Somitic mesoderm,E8.25
cell_73315,24,Surface ectoderm,E8.25
cell_73316,34,Spinal cord,E8.25
cell_73317,36,Erythroid2,E8.25
cell_73318,13,Pharyngeal mesoderm,E8.25
cell_73321,8,Erythroid2,E8.25
cell_73323,24,Surface ectoderm,E8.25
cell_73324,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73325,56,Mesenchyme,E8.25
cell_73326,4,NMP,E8.25
cell_73327,11,Intermediate mesoderm,E8.25
cell_73328,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73329,6,Endothelium,E8.25
cell_73331,51,Surface ectoderm,E8.25
cell_73332,43,Spinal cord,E8.25
cell_73334,6,Endothelium,E8.25
cell_73335,23,Gut,E8.25
cell_73338,14,Allantois,E8.25
cell_73339,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73340,6,Haematoendothelial progenitors,E8.25
cell_73341,11,Intermediate mesoderm,E8.25
cell_73342,3,Mesenchyme,E8.25
cell_73343,3,Mesenchyme,E8.25
cell_73344,4,NMP,E8.25
cell_73345,24,Surface ectoderm,E8.25
cell_73346,10,Paraxial mesoderm,E8.25
cell_73347,29,Cardiomyocytes,E8.25
cell_73349,21,Notochord,E8.25
cell_73350,34,NMP,E8.25
cell_73351,14,Mesenchyme,E8.25
cell_73352,18,Surface ectoderm,E8.25
cell_73353,52,Erythroid1,E8.25
cell_73355,13,Cardiomyocytes,E8.25
cell_73356,26,Intermediate mesoderm,E8.25
cell_73357,26,Intermediate mesoderm,E8.25
cell_73358,13,Mesenchyme,E8.25
cell_73361,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73362,34,Spinal cord,E8.25
cell_73363,3,Mesenchyme,E8.25
cell_73364,59,Spinal cord,E8.25
cell_73365,43,Spinal cord,E8.25
cell_73366,57,Mesenchyme,E8.25
cell_73367,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73368,3,Mesenchyme,E8.25
cell_73370,45,PGC,E8.25
cell_73371,52,Erythroid1,E8.25
cell_73372,8,Erythroid1,E8.25
cell_73374,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73375,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_73376,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73377,15,Somitic mesoderm,E8.25
cell_73378,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73379,10,Paraxial mesoderm,E8.25
cell_73380,6,Haematoendothelial progenitors,E8.25
cell_73381,34,Spinal cord,E8.25
cell_73382,41,NMP,E8.25
cell_73384,3,Mesenchyme,E8.25
cell_73385,18,Surface ectoderm,E8.25
cell_73386,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73387,8,Blood progenitors 2,E8.25
cell_73388,11,Intermediate mesoderm,E8.25
cell_73390,28,Def. endoderm,E8.25
cell_73393,10,Paraxial mesoderm,E8.25
cell_73394,42,Spinal cord,E8.25
cell_73395,41,NMP,E8.25
cell_73396,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73398,4,NMP,E8.25
cell_73399,8,Erythroid2,E8.25
cell_73401,29,Cardiomyocytes,E8.25
cell_73402,4,NMP,E8.25
cell_73405,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73407,23,Gut,E8.25
cell_73408,10,Paraxial mesoderm,E8.25
cell_73409,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73410,13,Pharyngeal mesoderm,E8.25
cell_73411,4,NMP,E8.25
cell_73412,11,Intermediate mesoderm,E8.25
cell_73413,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73415,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_73416,6,Haematoendothelial progenitors,E8.25
cell_73417,13,Pharyngeal mesoderm,E8.25
cell_73419,14,Allantois,E8.25
cell_73421,13,Pharyngeal mesoderm,E8.25
cell_73422,3,Mesenchyme,E8.25
cell_73423,13,Pharyngeal mesoderm,E8.25
cell_73424,8,Erythroid3,E8.25
cell_73425,10,Paraxial mesoderm,E8.25
cell_73426,16,Paraxial mesoderm,E8.25
cell_73427,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73428,26,Pharyngeal mesoderm,E8.25
cell_73429,14,Allantois,E8.25
cell_73430,8,Erythroid1,E8.25
cell_73431,36,Erythroid2,E8.25
cell_73432,6,Endothelium,E8.25
cell_73433,6,Haematoendothelial progenitors,E8.25
cell_73435,6,Paraxial mesoderm,E8.25
cell_73436,35,Erythroid3,E8.25
cell_73437,24,Surface ectoderm,E8.25
cell_73438,14,Allantois,E8.25
cell_73441,10,Paraxial mesoderm,E8.25
cell_73442,30,Erythroid1,E8.25
cell_73443,13,Pharyngeal mesoderm,E8.25
cell_73444,51,Neural crest,E8.25
cell_73446,6,Mesenchyme,E8.25
cell_73449,57,Mesenchyme,E8.25
cell_73450,13,Mesenchyme,E8.25
cell_73451,10,Paraxial mesoderm,E8.25
cell_73452,36,Erythroid3,E8.25
cell_73453,11,Somitic mesoderm,E8.25
cell_73456,35,Erythroid2,E8.25
cell_73458,6,Haematoendothelial progenitors,E8.25
cell_73461,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73463,17,Forebrain/Midbrain/Hindbrain,E8.25
cell_73464,3,Mesenchyme,E8.25
cell_73465,16,Paraxial mesoderm,E8.25
cell_73466,14,Allantois,E8.25
cell_73467,6,Endothelium,E8.25
cell_73468,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73469,13,Pharyngeal mesoderm,E8.25
cell_73470,23,Gut,E8.25
cell_73471,56,Mesenchyme,E8.25
cell_73472,51,Neural crest,E8.25
cell_73473,52,Erythroid1,E8.25
cell_73474,17,Caudal epiblast,E8.25
cell_73477,10,Paraxial mesoderm,E8.25
cell_73479,40,Rostral neurectoderm,E8.25
cell_73480,14,Allantois,E8.25
cell_73482,24,Rostral neurectoderm,E8.25
cell_73483,53,Gut,E8.25
cell_73485,51,Forebrain/Midbrain/Hindbrain,E8.25
cell_73486,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73487,4,NMP,E8.25
cell_73488,23,Gut,E8.25
cell_73489,14,Haematoendothelial progenitors,E8.25
cell_73490,43,Forebrain/Midbrain/Hindbrain,E8.25
cell_73491,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73492,3,Mesenchyme,E8.25
cell_73493,11,Intermediate mesoderm,E8.25
cell_73495,15,Intermediate mesoderm,E8.25
cell_73496,11,Somitic mesoderm,E8.25
cell_73497,39,Pharyngeal mesoderm,E8.25
cell_73498,36,Erythroid3,E8.25
cell_73500,26,Pharyngeal mesoderm,E8.25
cell_73505,8,Erythroid1,E8.25
cell_73506,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73507,3,Mesenchyme,E8.25
cell_73508,4,NMP,E8.25
cell_73510,43,Spinal cord,E8.25
cell_73511,8,Erythroid2,E8.25
cell_73513,23,Gut,E8.25
cell_73515,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_73517,57,Mesenchyme,E8.25
cell_73518,10,Paraxial mesoderm,E8.25
cell_73519,3,Mesenchyme,E8.25
cell_73520,22,Erythroid1,E8.25
cell_73521,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73522,4,NMP,E8.25
cell_73523,23,Gut,E8.25
cell_73524,11,Somitic mesoderm,E8.25
cell_73525,4,Surface ectoderm,E8.25
cell_73526,3,Mesenchyme,E8.25
cell_73528,59,Forebrain/Midbrain/Hindbrain,E8.25
cell_73529,8,Erythroid1,E8.25
cell_73530,29,Cardiomyocytes,E8.25
cell_73532,28,Def. endoderm,E8.25
cell_73533,40,Surface ectoderm,E8.25
cell_73534,29,Cardiomyocytes,E8.25
cell_73536,19,Forebrain/Midbrain/Hindbrain,E8.25
cell_73537,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_73538,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73539,3,Mesenchyme,E8.25
cell_73540,4,NMP,E8.25
cell_73541,26,Somitic mesoderm,E8.25
cell_73543,13,Pharyngeal mesoderm,E8.25
cell_73544,23,Gut,E8.25
cell_73545,15,Intermediate mesoderm,E8.25
cell_73546,26,Intermediate mesoderm,E8.25
cell_73547,23,Gut,E8.25
cell_73548,34,Spinal cord,E8.25
cell_73549,53,Gut,E8.25
cell_73550,43,Spinal cord,E8.25
cell_73551,59,Forebrain/Midbrain/Hindbrain,E8.25
cell_73552,24,Surface ectoderm,E8.25
cell_73553,34,Spinal cord,E8.25
cell_73554,16,Paraxial mesoderm,E8.25
cell_73555,8,Erythroid2,E8.25
cell_73556,18,Surface ectoderm,E8.25
cell_73559,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73560,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73562,34,Spinal cord,E8.25
cell_73563,11,Intermediate mesoderm,E8.25
cell_73564,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73565,3,Mesenchyme,E8.25
cell_73566,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73570,24,Rostral neurectoderm,E8.25
cell_73575,23,Gut,E8.25
cell_73576,11,Intermediate mesoderm,E8.25
cell_73578,22,Erythroid3,E8.25
cell_73579,26,Pharyngeal mesoderm,E8.25
cell_73580,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73581,11,Somitic mesoderm,E8.25
cell_73582,6,Haematoendothelial progenitors,E8.25
cell_73583,18,Surface ectoderm,E8.25
cell_73584,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73585,57,Mesenchyme,E8.25
cell_73586,4,NMP,E8.25
cell_73587,34,Spinal cord,E8.25
cell_73588,14,Allantois,E8.25
cell_73589,16,Paraxial mesoderm,E8.25
cell_73590,43,Forebrain/Midbrain/Hindbrain,E8.25
cell_73592,29,Cardiomyocytes,E8.25
cell_73593,26,Intermediate mesoderm,E8.25
cell_73595,41,NMP,E8.25
cell_73596,4,NMP,E8.25
cell_73597,4,NMP,E8.25
cell_73598,4,NMP,E8.25
cell_73599,10,Paraxial mesoderm,E8.25
cell_73600,15,Somitic mesoderm,E8.25
cell_73602,4,NMP,E8.25
cell_73604,16,Paraxial mesoderm,E8.25
cell_73605,59,Forebrain/Midbrain/Hindbrain,E8.25
cell_73606,36,Erythroid2,E8.25
cell_73609,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73610,43,Rostral neurectoderm,E8.25
cell_73611,10,Paraxial mesoderm,E8.25
cell_73612,53,Gut,E8.25
cell_73615,16,Paraxial mesoderm,E8.25
cell_73617,14,Allantois,E8.25
cell_73618,4,NMP,E8.25
cell_73619,35,Erythroid2,E8.25
cell_73620,10,Paraxial mesoderm,E8.25
cell_73621,12,Blood progenitors 2,E8.25
cell_73623,24,Surface ectoderm,E8.25
cell_73624,16,Paraxial mesoderm,E8.25
cell_73625,10,Paraxial mesoderm,E8.25
cell_73626,11,Somitic mesoderm,E8.25
cell_73629,13,Pharyngeal mesoderm,E8.25
cell_73630,13,Mesenchyme,E8.25
cell_73631,11,Caudal Mesoderm,E8.25
cell_73632,26,Intermediate mesoderm,E8.25
cell_73637,16,Paraxial mesoderm,E8.25
cell_73638,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73639,8,Erythroid2,E8.25
cell_73640,14,Allantois,E8.25
cell_73642,24,Surface ectoderm,E8.25
cell_73643,11,Somitic mesoderm,E8.25
cell_73644,16,Paraxial mesoderm,E8.25
cell_73645,3,Mesenchyme,E8.25
cell_73646,8,Erythroid2,E8.25
cell_73647,4,Caudal Mesoderm,E8.25
cell_73648,4,NMP,E8.25
cell_73649,6,Endothelium,E8.25
cell_73650,4,NMP,E8.25
cell_73652,29,Cardiomyocytes,E8.25
cell_73653,14,Allantois,E8.25
cell_73655,16,Paraxial mesoderm,E8.25
cell_73657,24,Surface ectoderm,E8.25
cell_73658,14,Allantois,E8.25
cell_73659,4,NMP,E8.25
cell_73661,34,Spinal cord,E8.25
cell_73662,52,Erythroid1,E8.25
cell_73663,30,Erythroid1,E8.25
cell_73664,30,Erythroid1,E8.25
cell_73665,43,Surface ectoderm,E8.25
cell_73666,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73667,53,Surface ectoderm,E8.25
cell_73668,10,Paraxial mesoderm,E8.25
cell_73669,10,Paraxial mesoderm,E8.25
cell_73670,3,Mesenchyme,E8.25
cell_73672,26,Pharyngeal mesoderm,E8.25
cell_73673,10,Paraxial mesoderm,E8.25
cell_73674,11,Intermediate mesoderm,E8.25
cell_73675,23,Gut,E8.25
cell_73676,16,Paraxial mesoderm,E8.25
cell_73677,6,Haematoendothelial progenitors,E8.25
cell_73678,11,Somitic mesoderm,E8.25
cell_73679,13,Pharyngeal mesoderm,E8.25
cell_73684,40,Rostral neurectoderm,E8.25
cell_73685,18,Surface ectoderm,E8.25
cell_73687,29,Cardiomyocytes,E8.25
cell_73690,24,Surface ectoderm,E8.25
cell_73691,4,Surface ectoderm,E8.25
cell_73693,10,Paraxial mesoderm,E8.25
cell_73694,35,Erythroid2,E8.25
cell_73697,15,Somitic mesoderm,E8.25
cell_73698,13,Mesenchyme,E8.25
cell_73699,57,Mesenchyme,E8.25
cell_73700,4,NMP,E8.25
cell_73701,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73703,19,Forebrain/Midbrain/Hindbrain,E8.25
cell_73704,29,Cardiomyocytes,E8.25
cell_73705,11,Intermediate mesoderm,E8.25
cell_73706,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73707,4,NMP,E8.25
cell_73708,13,Pharyngeal mesoderm,E8.25
cell_73709,8,Erythroid2,E8.25
cell_73710,6,Haematoendothelial progenitors,E8.25
cell_73711,56,Mesenchyme,E8.25
cell_73712,12,Blood progenitors 1,E8.25
cell_73713,14,Allantois,E8.25
cell_73714,17,NMP,E8.25
cell_73716,8,Erythroid1,E8.25
cell_73717,24,Surface ectoderm,E8.25
cell_73720,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73721,24,Surface ectoderm,E8.25
cell_73722,10,Paraxial mesoderm,E8.25
cell_73723,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_73724,41,NMP,E8.25
cell_73725,6,Haematoendothelial progenitors,E8.25
cell_73726,53,Surface ectoderm,E8.25
cell_73727,24,Surface ectoderm,E8.25
cell_73729,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73730,4,NMP,E8.25
cell_73731,4,NMP,E8.25
cell_73732,11,Somitic mesoderm,E8.25
cell_73733,59,Forebrain/Midbrain/Hindbrain,E8.25
cell_73734,3,Mesenchyme,E8.25
cell_73736,6,Endothelium,E8.25
cell_73737,26,Pharyngeal mesoderm,E8.25
cell_73738,6,Haematoendothelial progenitors,E8.25
cell_73740,18,Surface ectoderm,E8.25
cell_73741,16,Paraxial mesoderm,E8.25
cell_73742,43,Forebrain/Midbrain/Hindbrain,E8.25
cell_73743,15,Intermediate mesoderm,E8.25
cell_73744,21,Notochord,E8.25
cell_73745,52,Erythroid1,E8.25
cell_73746,23,Gut,E8.25
cell_73747,8,Erythroid2,E8.25
cell_73748,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73749,16,Paraxial mesoderm,E8.25
cell_73750,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73751,29,Cardiomyocytes,E8.25
cell_73752,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73753,24,Surface ectoderm,E8.25
cell_73755,59,Spinal cord,E8.25
cell_73756,3,Mesenchyme,E8.25
cell_73757,15,Somitic mesoderm,E8.25
cell_73758,24,Surface ectoderm,E8.25
cell_73760,11,Somitic mesoderm,E8.25
cell_73762,51,Neural crest,E8.25
cell_73764,16,Pharyngeal mesoderm,E8.25
cell_73765,29,Cardiomyocytes,E8.25
cell_73767,50,Intermediate mesoderm,E8.25
cell_73769,31,Spinal cord,E8.25
cell_73770,52,Erythroid1,E8.25
cell_73771,15,Paraxial mesoderm,E8.25
cell_73772,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73773,14,Haematoendothelial progenitors,E8.25
cell_73774,26,Pharyngeal mesoderm,E8.25
cell_73775,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_73777,4,NMP,E8.25
cell_73778,13,Pharyngeal mesoderm,E8.25
cell_73779,24,Surface ectoderm,E8.25
cell_73780,18,Surface ectoderm,E8.25
cell_73782,4,NMP,E8.25
cell_73783,26,Pharyngeal mesoderm,E8.25
cell_73784,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73786,8,Erythroid2,E8.25
cell_73787,36,Erythroid1,E8.25
cell_73788,14,Haematoendothelial progenitors,E8.25
cell_73789,14,Allantois,E8.25
cell_73790,34,Spinal cord,E8.25
cell_73791,4,Caudal Mesoderm,E8.25
cell_73792,3,Mesenchyme,E8.25
cell_73793,4,NMP,E8.25
cell_73794,10,Paraxial mesoderm,E8.25
cell_73795,10,Somitic mesoderm,E8.25
cell_73796,18,Surface ectoderm,E8.25
cell_73797,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73798,4,NMP,E8.25
cell_73800,29,Cardiomyocytes,E8.25
cell_73801,10,Paraxial mesoderm,E8.25
cell_73802,11,Somitic mesoderm,E8.25
cell_73804,3,Mesenchyme,E8.25
cell_73805,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73806,52,Erythroid1,E8.25
cell_73807,13,Pharyngeal mesoderm,E8.25
cell_73808,57,Mesenchyme,E8.25
cell_73809,59,Forebrain/Midbrain/Hindbrain,E8.25
cell_73810,52,Erythroid1,E8.25
cell_73811,36,Erythroid3,E8.25
cell_73812,6,Haematoendothelial progenitors,E8.25
cell_73813,52,Erythroid1,E8.25
cell_73814,6,Haematoendothelial progenitors,E8.25
cell_73815,24,Forebrain/Midbrain/Hindbrain,E8.25
cell_73816,18,Surface ectoderm,E8.25
cell_73818,26,Intermediate mesoderm,E8.25
cell_73819,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73820,6,Haematoendothelial progenitors,E8.25
cell_73821,6,Endothelium,E8.25
cell_73823,13,Pharyngeal mesoderm,E8.25
cell_73824,52,Erythroid2,E8.25
cell_73825,6,Haematoendothelial progenitors,E8.25
cell_73827,8,Erythroid2,E8.25
cell_73828,13,Mesenchyme,E8.25
cell_73829,4,NMP,E8.25
cell_73830,53,Surface ectoderm,E8.25
cell_73831,51,Forebrain/Midbrain/Hindbrain,E8.25
cell_73832,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73833,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73834,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73836,53,Surface ectoderm,E8.25
cell_73837,26,Pharyngeal mesoderm,E8.25
cell_73839,3,Mesenchyme,E8.25
cell_73840,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73842,4,NMP,E8.25
cell_73843,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73845,23,Gut,E8.25
cell_73846,30,Erythroid1,E8.25
cell_73848,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73849,6,Haematoendothelial progenitors,E8.25
cell_73850,8,Erythroid1,E8.25
cell_73851,56,Mesenchyme,E8.25
cell_73852,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73854,8,Erythroid1,E8.25
cell_73855,11,Somitic mesoderm,E8.25
cell_73857,8,Erythroid2,E8.25
cell_73858,17,Forebrain/Midbrain/Hindbrain,E8.25
cell_73859,39,Pharyngeal mesoderm,E8.25
cell_73860,14,Allantois,E8.25
cell_73861,6,Haematoendothelial progenitors,E8.25
cell_73862,24,Surface ectoderm,E8.25
cell_73863,11,Intermediate mesoderm,E8.25
cell_73864,10,Paraxial mesoderm,E8.25
cell_73865,11,Somitic mesoderm,E8.25
cell_73866,10,Paraxial mesoderm,E8.25
cell_73867,51,Forebrain/Midbrain/Hindbrain,E8.25
cell_73869,6,Endothelium,E8.25
cell_73870,4,NMP,E8.25
cell_73871,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_73872,26,Pharyngeal mesoderm,E8.25
cell_73874,59,Forebrain/Midbrain/Hindbrain,E8.25
cell_73875,36,Erythroid2,E8.25
cell_73876,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73877,34,Caudal neurectoderm,E8.25
cell_73878,23,Gut,E8.25
cell_73879,8,Erythroid2,E8.25
cell_73880,23,Gut,E8.25
cell_73881,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73882,8,Erythroid1,E8.25
cell_73883,10,Paraxial mesoderm,E8.25
cell_73884,10,Paraxial mesoderm,E8.25
cell_73885,16,Paraxial mesoderm,E8.25
cell_73886,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73887,11,Somitic mesoderm,E8.25
cell_73888,40,Rostral neurectoderm,E8.25
cell_73889,13,Mesenchyme,E8.25
cell_73890,10,Paraxial mesoderm,E8.25
cell_73891,3,Mesenchyme,E8.25
cell_73892,11,Somitic mesoderm,E8.25
cell_73893,11,Intermediate mesoderm,E8.25
cell_73897,14,Mesenchyme,E8.25
cell_73898,12,Blood progenitors 2,E8.25
cell_73899,10,Pharyngeal mesoderm,E8.25
cell_73900,51,Forebrain/Midbrain/Hindbrain,E8.25
cell_73901,14,Allantois,E8.25
cell_73902,41,NMP,E8.25
cell_73903,15,Intermediate mesoderm,E8.25
cell_73904,11,Intermediate mesoderm,E8.25
cell_73905,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73908,3,Mesenchyme,E8.25
cell_73909,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73910,10,Paraxial mesoderm,E8.25
cell_73911,10,Paraxial mesoderm,E8.25
cell_73912,11,Somitic mesoderm,E8.25
cell_73913,4,Caudal Mesoderm,E8.25
cell_73914,31,Forebrain/Midbrain/Hindbrain,E8.25
cell_73915,24,Surface ectoderm,E8.25
cell_73916,31,Forebrain/Midbrain/Hindbrain,E8.25
cell_73917,11,Somitic mesoderm,E8.25
cell_73918,18,Surface ectoderm,E8.25
cell_73919,4,NMP,E8.25
cell_73920,48,Forebrain/Midbrain/Hindbrain,E8.25
cell_73921,26,Somitic mesoderm,E8.25
cell_73922,16,Paraxial mesoderm,E8.25
cell_73923,8,Erythroid2,E8.25
cell_73924,13,Pharyngeal mesoderm,E8.25
cell_73925,31,Spinal cord,E8.25
cell_73927,11,Intermediate mesoderm,E8.25
cell_73928,28,Gut,E8.25
cell_73929,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73930,19,Forebrain/Midbrain/Hindbrain,E8.25
cell_73931,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73932,26,Intermediate mesoderm,E8.25
cell_73935,18,Surface ectoderm,E8.25
cell_73936,16,Paraxial mesoderm,E8.25
cell_73937,10,Paraxial mesoderm,E8.25
cell_73938,6,Haematoendothelial progenitors,E8.25
cell_73940,14,Allantois,E8.25
cell_73941,13,Pharyngeal mesoderm,E8.25
cell_73942,16,Paraxial mesoderm,E8.25
cell_73943,8,Erythroid2,E8.25
cell_73944,14,Allantois,E8.25
cell_73945,24,Surface ectoderm,E8.25
cell_73946,11,Intermediate mesoderm,E8.25
cell_73947,6,Endothelium,E8.25
cell_73948,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_73950,17,Forebrain/Midbrain/Hindbrain,E8.25
cell_73951,57,Mesenchyme,E8.25
cell_73952,11,Somitic mesoderm,E8.25
cell_73953,24,Surface ectoderm,E8.25
cell_73954,13,Pharyngeal mesoderm,E8.25
cell_73955,17,Spinal cord,E8.25
cell_73956,34,Spinal cord,E8.25
cell_73957,13,Pharyngeal mesoderm,E8.25
cell_73958,4,NMP,E8.25
cell_73959,3,Mesenchyme,E8.25
cell_73960,8,Erythroid2,E8.25
cell_73961,31,Forebrain/Midbrain/Hindbrain,E8.25
cell_73962,11,Intermediate mesoderm,E8.25
cell_73963,53,Surface ectoderm,E8.25
cell_73964,10,Paraxial mesoderm,E8.25
cell_73965,22,Erythroid1,E8.25
cell_73966,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_73967,29,Cardiomyocytes,E8.25
cell_73968,19,Rostral neurectoderm,E8.25
cell_73969,8,Erythroid3,E8.25
cell_73970,6,Endothelium,E8.25
cell_73971,26,Paraxial mesoderm,E8.25
cell_73972,52,Erythroid1,E8.25
cell_73974,14,Allantois,E8.25
cell_73975,10,Paraxial mesoderm,E8.25
cell_73976,16,Paraxial mesoderm,E8.25
cell_73978,8,Erythroid1,E8.25
cell_73980,26,Pharyngeal mesoderm,E8.25
cell_73981,12,Blood progenitors 2,E8.25
cell_73982,55,Forebrain/Midbrain/Hindbrain,E8.25
cell_73983,14,Mesenchyme,E8.25
cell_73984,29,Cardiomyocytes,E8.25
cell_73985,6,Haematoendothelial progenitors,E8.25
cell_73987,3,Mesenchyme,E8.25
cell_73989,14,Allantois,E8.25
cell_73990,52,Erythroid1,E8.25
cell_73991,43,Spinal cord,E8.25
cell_73992,4,NMP,E8.25
cell_73994,26,Intermediate mesoderm,E8.25
cell_73996,31,Forebrain/Midbrain/Hindbrain,E8.25
cell_73997,4,Caudal Mesoderm,E8.25
cell_73999,40,Forebrain/Midbrain/Hindbrain,E8.25
cell_74001,31,Caudal neurectoderm,E8.25
cell_74002,16,Paraxial mesoderm,E8.25
cell_74003,17,Spinal cord,E8.25
cell_74004,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_74005,11,NMP,E8.25
cell_74007,40,Surface ectoderm,E8.25
cell_74008,35,Erythroid3,E8.25
cell_74009,6,Haematoendothelial progenitors,E8.25
cell_74010,3,Mesenchyme,E8.25
cell_74011,23,Gut,E8.25
cell_74012,14,Allantois,E8.25
cell_74013,18,Surface ectoderm,E8.25
cell_74014,34,Spinal cord,E8.25
cell_74015,3,Mesenchyme,E8.25
cell_74016,15,Somitic mesoderm,E8.25
cell_74018,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_74019,58,Forebrain/Midbrain/Hindbrain,E8.25
cell_74021,24,Surface ectoderm,E8.25
cell_74023,19,Rostral neurectoderm,E8.25
cell_74025,29,Cardiomyocytes,E8.25
cell_74026,42,Forebrain/Midbrain/Hindbrain,E8.25
cell_74028,10,Pharyngeal mesoderm,E8.25
cell_74030,6,Haematoendothelial progenitors,E8.25
cell_74031,8,Erythroid1,E8.25
cell_74032,46,Gut,E8.25
cell_74033,10,Pharyngeal mesoderm,E8.25
cell_74034,4,NMP,E8.25
cell_74035,14,Allantois,E8.25
cell_74036,4,Caudal epiblast,E8.25
cell_74037,11,Intermediate mesoderm,E8.25
cell_74038,3,Mesenchyme,E8.25
cell_74039,24,Surface ectoderm,E8.25
cell_74040,10,Paraxial mesoderm,E8.25
cell_74041,46,Forebrain/Midbrain/Hindbrain,E8.25
cell_74043,53,Gut,E8.25
