Cell name,Leiden cluster,Cell type,
YX_1009901001_O19,45,Muscle,
YX_1009901001_O2,9,Muscle,
YX_1009901001_O20,8,Epidermal_prog3,
YX_1009901001_O21,9,Muscle,
YX_1009901001_O3,6,Muscle,
YX_1009901001_O4,16,Epidermal1,
YX_1009901001_O5,38,Muscle,
YX_1009901001_O7,8,Epidermal_prog3,
YX_1009901001_O9,7,Neural,
YX_1009901001_P1,2,Epidermal1,
YX_1009901001_P10,32,Epidermal_prog3,
YX_1009901001_P12,0,Muscle,
YX_1009901001_P13,22,Muscle,
YX_1009901001_P15,4,Neoblast,
YX_1009901001_P16,0,Muscle,
YX_1009901001_P17,39,Gland,
YX_1009901001_P18,25,Parenchymal,
YX_1009901001_P19,23,Epidermal_prog1,
YX_1009901001_P2,0,Muscle,
YX_1009901001_P20,25,Parenchymal,
YX_1009901001_P21,1,Neoblast,
YX_1009901001_P4,5,Cathepsin,
YX_1009901001_P5,7,Neural,
YX_1009901001_P8,25,Neoblast,
YX_1009901002_A1,7,Neural,
YX_1009901002_A10,26,Neoblast,
YX_1009901002_A11,18,Neural,
YX_1009901002_A12,6,Muscle,
YX_1009901002_A13,15,Neoblast,
YX_1009901002_A14,0,Muscle,
YX_1009901002_A15,5,Cathepsin,
YX_1009901002_A16,16,Epidermal2,
YX_1009901002_A17,3,Parenchymal,
YX_1009901002_A18,35,Neural,
YX_1009901002_A19,3,Parenchymal,
YX_1009901002_A2,14,Neural,
YX_1009901002_A20,15,Neoblast,
YX_1009901002_A22,7,Neural,
YX_1009901002_A23,20,Neural,
YX_1009901002_A24,0,Muscle,
YX_1009901002_A3,20,Neural,
YX_1009901002_A4,6,Muscle,
YX_1009901002_A5,4,Neoblast,
YX_1009901002_A7,6,Muscle,
YX_1009901002_A8,33,Neural_KK7,
YX_1009901002_A9,14,Muscle,
YX_1009901002_B10,28,Neural,
YX_1009901002_B12,36,Neural,
YX_1009901002_B13,19,Neural,
YX_1009901002_B15,39,Neoblast,
YX_1009901002_B16,5,Cathepsin,
YX_1009901002_B17,0,Muscle,
YX_1009901002_B18,9,Muscle,
YX_1009901002_B19,15,Neoblast,
YX_1009901002_B22,12,Muscle,
YX_1009901002_B23,28,Neural,
YX_1009901002_B24,44,Neural,
YX_1009901002_B3,40,Neural,
YX_1009901002_B4,9,Muscle,
YX_1009901002_B6,6,Muscle,
YX_1009901002_B7,4,Neoblast,
YX_1009901002_B9,21,Parenchymal,
YX_1009901002_C1,23,Epidermal_prog1,
YX_1009901002_C10,1,Neoblast,
YX_1009901002_C11,13,Muscle,
YX_1009901002_C12,6,Muscle,
YX_1009901002_C13,1,Neoblast,
YX_1009901002_C14,5,Cathepsin,
YX_1009901002_C15,0,Muscle,
YX_1009901002_C17,0,Muscle,
YX_1009901002_C18,9,Muscle,
YX_1009901002_C2,6,Muscle,
YX_1009901002_C20,0,Muscle,
YX_1009901002_C21,29,Neoblast,
YX_1009901002_C23,2,Cathepsin,
YX_1009901002_C24,1,Neoblast,
YX_1009901002_C3,24,Parenchymal,
YX_1009901002_C4,4,Neoblast,
YX_1009901002_C5,9,Muscle,
YX_1009901002_C7,1,Neoblast,
YX_1009901002_C8,3,Parenchymal,
YX_1009901002_D1,1,Neoblast,
YX_1009901002_D10,27,Neoblast,
YX_1009901002_D11,33,Neural_KK7,
YX_1009901002_D12,2,Epidermal1,
YX_1009901002_D13,21,Parenchymal,
YX_1009901002_D14,8,Epidermal_prog2,
YX_1009901002_D16,36,Neural,
YX_1009901002_D17,5,Cathepsin,
YX_1009901002_D18,38,Muscle,
YX_1009901002_D19,6,Muscle,
YX_1009901002_D20,29,Neoblast,
YX_1009901002_D21,2,Epidermal1,
YX_1009901002_D23,15,Neoblast,
YX_1009901002_D24,9,Muscle,
YX_1009901002_D3,5,Cathepsin,
YX_1009901002_D4,19,Neural,
YX_1009901002_D6,43,Flame cells,
YX_1009901002_D7,14,Neural,
YX_1009901002_D9,16,Muscle,
YX_1009901002_E1,9,Muscle,
YX_1009901002_E10,19,Neural,
YX_1009901002_E11,4,Neoblast,
YX_1009901002_E12,13,Muscle,
YX_1009901002_E13,4,Neoblast,
YX_1009901002_E14,5,Cathepsin,
YX_1009901002_E17,0,Muscle,
YX_1009901002_E18,9,Muscle,
YX_1009901002_E19,27,Neoblast,
YX_1009901002_E2,4,Neoblast,
YX_1009901002_E20,9,Muscle,
YX_1009901002_E21,30,Neoblast,
YX_1009901002_E22,15,Neoblast,
YX_1009901002_E23,41,Muscle,
YX_1009901002_E24,5,Cathepsin,
YX_1009901002_E3,4,Neoblast,
YX_1009901002_E4,33,Neoblast,
YX_1009901002_E5,12,Muscle,
YX_1009901002_E6,27,Neoblast,
YX_1009901002_E7,30,Neoblast,
YX_1009901002_E8,20,Neural,
YX_1009901002_E9,15,Neoblast,
YX_1009901002_F1,4,Neoblast,
YX_1009901002_F11,32,Intestine,
YX_1009901002_F12,20,Neural,
YX_1009901002_F13,19,Parenchymal,
YX_1009901002_F14,16,Epidermal2,
YX_1009901002_F16,15,Neoblast,
YX_1009901002_F17,1,Neoblast,
YX_1009901002_F2,0,Muscle,
YX_1009901002_F21,11,Parenchymal,
YX_1009901002_F22,1,Neoblast,
YX_1009901002_F23,25,Neoblast,
YX_1009901002_F24,4,Neoblast,
YX_1009901002_F5,1,Neoblast,
YX_1009901002_F6,1,Neoblast,
YX_1009901002_F9,9,Muscle,
YX_1009901002_G1,4,Neoblast,
YX_1009901002_G10,1,Neoblast,
YX_1009901002_G11,11,Parenchymal,
YX_1009901002_G12,21,Parenchymal,
YX_1009901002_G14,31,Parenchymal,
YX_1009901002_G15,35,Neural,
YX_1009901002_G16,18,Neural,
YX_1009901002_G17,3,Parenchymal,
YX_1009901002_G18,1,Neoblast,
YX_1009901002_G19,8,Epidermal_prog3,
YX_1009901002_G2,16,Epidermal2,
YX_1009901002_G20,38,Muscle,
YX_1009901002_G22,4,Neoblast,
YX_1009901002_G23,22,Muscle,
YX_1009901002_G24,7,Neural,
YX_1009901002_G3,13,Muscle,
YX_1009901002_G5,0,Muscle,
YX_1009901002_G6,16,Epidermal1,
YX_1009901002_G7,35,Neural,
YX_1009901002_G8,9,Muscle,
YX_1009901002_G9,30,Neoblast,
YX_1009901002_H1,30,Neoblast,
YX_1009901002_H10,15,Neoblast,
YX_1009901002_H11,1,Neoblast,
YX_1009901002_H12,3,Parenchymal,
YX_1009901002_H13,39,Gland,
YX_1009901002_H16,4,Neoblast,
YX_1009901002_H17,25,Neoblast,
YX_1009901002_H18,30,Neoblast,
YX_1009901002_H2,15,Neoblast,
YX_1009901002_H23,6,Muscle,
YX_1009901002_H24,4,Neoblast,
YX_1009901002_H3,9,Muscle,
YX_1009901002_H4,41,Muscle,
YX_1009901002_H6,1,Neoblast,
YX_1009901002_H7,0,Muscle,
YX_1009901002_H8,33,Neural_KK7,
YX_1009901002_H9,1,Neoblast,
YX_1009901002_I1,1,Neoblast,
YX_1009901002_I10,0,Muscle,
YX_1009901002_I11,22,Muscle,
YX_1009901002_I13,26,Neoblast,
YX_1009901002_I15,27,Neoblast,
YX_1009901002_I16,2,Cathepsin,
YX_1009901002_I17,29,Neoblast,
YX_1009901002_I18,2,Parenchymal,
YX_1009901002_I19,7,Neural,
YX_1009901002_I20,9,Muscle,
YX_1009901002_I21,30,Neoblast,
YX_1009901002_I22,29,Neoblast,
YX_1009901002_I23,1,Neoblast,
YX_1009901002_I24,23,Epidermal_prog1,
YX_1009901002_I3,13,Muscle,
YX_1009901002_I4,15,Neoblast,
YX_1009901002_I5,20,Neural,
YX_1009901002_I6,11,Parenchymal,
YX_1009901002_I7,12,Muscle,
YX_1009901002_I8,29,Neoblast,
YX_1009901002_J10,0,Muscle,
YX_1009901002_J11,40,Neural,
YX_1009901002_J12,0,Muscle,
YX_1009901002_J13,14,Neural,
YX_1009901002_J14,4,Neoblast,
YX_1009901002_J16,14,Neural,
YX_1009901002_J2,36,Neural,
YX_1009901002_J22,17,Parenchymal,
YX_1009901002_J23,17,Parenchymal,
YX_1009901002_J24,19,Neural,
YX_1009901002_J4,1,Neoblast,
YX_1009901002_J5,22,Muscle,
YX_1009901002_J6,0,Muscle,
YX_1009901002_J7,21,Parenchymal,
YX_1009901002_J8,8,Epidermal_prog2,
YX_1009901002_J9,41,Muscle,
YX_1009901002_K1,44,Neural,
YX_1009901002_K10,6,Muscle,
YX_1009901002_K11,4,Neoblast,
YX_1009901002_K12,25,Parenchymal,
YX_1009901002_K13,44,Neural,
YX_1009901002_K14,45,Muscle,
YX_1009901002_K15,32,Neoblast,
YX_1009901002_K16,23,Epidermal_prog1,
YX_1009901002_K17,12,Muscle,
YX_1009901002_K18,36,Neural,
YX_1009901002_K19,28,Neural,
YX_1009901002_K20,4,Neoblast,
YX_1009901002_K22,1,Neoblast,
YX_1009901002_K23,1,Neoblast,
YX_1009901002_K24,12,Muscle,
YX_1009901002_K3,2,Parenchymal,
YX_1009901002_K5,15,Neoblast,
YX_1009901002_K6,11,Parenchymal,
YX_1009901002_K7,46,Parenchymal,
YX_1009901002_K8,13,Muscle,
YX_1009901002_K9,1,Neoblast,
YX_1009901002_L10,15,Neoblast,
YX_1009901002_L11,4,Neoblast,
YX_1009901002_L12,29,Neoblast,
YX_1009901002_L13,27,Neoblast,
YX_1009901002_L14,15,Neoblast,
YX_1009901002_L15,12,Muscle,
YX_1009901002_L16,6,Muscle,
YX_1009901002_L17,8,Epidermal_prog3,
YX_1009901002_L2,44,Neural,
YX_1009901002_L20,0,Muscle,
YX_1009901002_L22,0,Muscle,
YX_1009901002_L24,4,Neoblast,
YX_1009901002_L3,7,Neural,
YX_1009901002_L4,1,Neoblast,
YX_1009901002_L5,0,Muscle,
YX_1009901002_L7,4,Neoblast,
YX_1009901002_L8,20,Neural,
YX_1009901002_M1,3,Parenchymal,
YX_1009901002_M10,21,Parenchymal,
YX_1009901002_M11,7,Neural,
YX_1009901002_M14,0,Muscle,
YX_1009901002_M16,26,Neoblast,
YX_1009901002_M19,6,Muscle,
YX_1009901002_M20,8,Epidermal_prog3,
YX_1009901002_M21,24,Epidermal_prog2,
YX_1009901002_M22,13,Muscle,
YX_1009901002_M23,34,Neural,
YX_1009901002_M24,4,Neoblast,
YX_1009901002_M3,18,Neural,
YX_1009901002_M4,28,Neural,
YX_1009901002_M5,45,Muscle,
YX_1009901002_M6,15,Neoblast,
YX_1009901002_M7,0,Muscle,
YX_1009901002_M9,14,Neural,
YX_1009901002_N1,1,Neoblast,
YX_1009901002_N10,24,Epidermal_prog2,
YX_1009901002_N11,15,Neoblast,
YX_1009901002_N13,28,Neural,
YX_1009901002_N16,3,Parenchymal,
YX_1009901002_N17,39,Neoblast,
YX_1009901002_N18,0,Muscle,
YX_1009901002_N19,45,Muscle,
YX_1009901002_N2,8,Epidermal_prog3,
YX_1009901002_N20,23,Epidermal_prog1,
YX_1009901002_N23,12,Muscle,
YX_1009901002_N3,7,Neural,
YX_1009901002_N4,14,Neural,
YX_1009901002_N5,0,Muscle,
YX_1009901002_N6,5,Cathepsin,
YX_1009901002_N7,23,Epidermal_prog1,
YX_1009901002_N9,0,Muscle,
YX_1009901002_O1,37,Cathepsin,
YX_1009901002_O10,13,Muscle,
YX_1009901002_O11,29,Muscle,
YX_1009901002_O12,21,Parenchymal,
YX_1009901002_O13,1,Neoblast,
YX_1009901002_O15,9,Muscle,
YX_1009901002_O16,15,Neoblast,
YX_1009901002_O17,6,Muscle,
YX_1009901002_O18,20,Neural,
YX_1009901002_O2,30,Neoblast,
YX_1009901002_O22,11,Parenchymal,
YX_1009901002_O23,24,Epidermal_prog2,
YX_1009901002_O3,14,Neural,
YX_1009901002_O4,18,Neural,
YX_1009901002_O5,24,Parenchymal,
YX_1009901002_O6,0,Muscle,
YX_1009901002_O7,28,Neural,
YX_1009901002_O9,44,Neural,
YX_1009901002_P1,25,Neoblast,
YX_1009901002_P11,0,Muscle,
YX_1009901002_P12,25,Neoblast,
YX_1009901002_P13,29,Neoblast,
YX_1009901002_P15,3,Parenchymal,
YX_1009901002_P16,6,Muscle,
YX_1009901002_P17,1,Neoblast,
YX_1009901002_P18,36,Neural,
YX_1009901002_P19,39,Neoblast,
YX_1009901002_P2,0,Muscle,
YX_1009901002_P20,16,Neural,
YX_1009901002_P21,21,Parenchymal,
YX_1009901002_P22,3,Epidermal_prog3,
YX_1009901002_P23,30,Neoblast,
YX_1009901002_P3,8,Epidermal_prog3,
YX_1009901002_P4,12,Muscle,
YX_1009901002_P5,0,Muscle,
YX_1009901002_P6,20,Neural,
YX_1009901002_P7,12,Muscle,
YX_1009901002_P9,5,Cathepsin,
YX_1009901003_A12,4,Neoblast,
YX_1009901003_A13,29,Neoblast,
YX_1009901003_A14,6,Muscle,
YX_1009901003_A16,22,Muscle,
YX_1009901003_A17,17,Neural,
YX_1009901003_A2,4,Neoblast,
YX_1009901003_A22,7,Neural,
YX_1009901003_A23,16,Epidermal2,
YX_1009901003_A4,6,Muscle,
YX_1009901003_A5,32,Intestine,
YX_1009901003_A6,26,Neoblast,
YX_1009901003_A7,28,Neural,
YX_1009901003_A8,4,Neoblast,
YX_1009901003_A9,42,Neural,
YX_1009901003_B1,23,Epidermal_prog1,
YX_1009901003_B10,1,Neoblast,
YX_1009901003_B11,36,Neural,
YX_1009901003_B12,17,Neural,
YX_1009901003_B13,40,Neural,
YX_1009901003_B14,4,Neoblast,
YX_1009901003_B16,29,Neoblast,
YX_1009901003_B18,17,Parenchymal,
YX_1009901003_B19,38,Muscle,
YX_1009901003_B2,5,Cathepsin,
YX_1009901003_B20,21,Parenchymal,
YX_1009901003_B21,3,Parenchymal,
YX_1009901003_B22,17,Neural,
YX_1009901003_B23,1,Neoblast,
YX_1009901003_B24,2,Parenchymal,
YX_1009901003_B3,44,Neural,
YX_1009901003_B4,44,Neural,
YX_1009901003_B6,6,Muscle,
YX_1009901003_B7,19,Parenchymal,
YX_1009901003_B8,11,Parenchymal,
YX_1009901003_C10,5,Cathepsin,
YX_1009901003_C11,2,Parenchymal,
YX_1009901003_C12,13,Muscle,
YX_1009901003_C14,3,Parenchymal,
YX_1009901003_C15,32,Intestine,
YX_1009901003_C16,15,Neoblast,
YX_1009901003_C17,14,Neural,
YX_1009901003_C18,36,Neural,
YX_1009901003_C19,19,Neural,
YX_1009901003_C21,0,Muscle,
YX_1009901003_C22,17,Parenchymal,
YX_1009901003_C23,32,Intestine,
YX_1009901003_C24,8,Epidermal_prog3,
YX_1009901003_C3,39,Flame cells,
YX_1009901003_C4,2,Cathepsin,
YX_1009901003_C5,13,Muscle,
YX_1009901003_C6,3,Parenchymal,
YX_1009901003_C7,2,Parenchymal,
YX_1009901003_C8,31,Neural,
YX_1009901003_C9,39,Gland,
YX_1009901003_D1,1,Neoblast,
YX_1009901003_D10,19,Parenchymal,
YX_1009901003_D11,1,Neoblast,
YX_1009901003_D12,12,Muscle,
YX_1009901003_D13,0,Muscle,
YX_1009901003_D14,13,Muscle,
YX_1009901003_D15,9,Muscle,
YX_1009901003_D18,38,Muscle,
YX_1009901003_D19,1,Neoblast,
YX_1009901003_D2,10,Muscle,
YX_1009901003_D20,26,Neoblast,
YX_1009901003_D21,43,Flame cells,
YX_1009901003_D22,24,Epidermal_prog2,
YX_1009901003_D24,4,Neoblast,
YX_1009901003_D4,8,Epidermal_prog3,
YX_1009901003_D6,41,Muscle,
YX_1009901003_D7,5,Cathepsin,
YX_1009901003_D8,37,Cathepsin,
YX_1009901003_E10,27,Neoblast,
